finding,ICD10_code,PFx,PFx_ICD10_Code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,readability_difference,overall_score,log_overall_score
Frontal Sinus Retention Cyst,J34.1,"A frontal sinus retention cyst is like a small balloon inside the head, near the forehead. It forms when some mucus gets caught because a small path, like a tiny tunnel, is blocked. Usually, these cysts don’t cause problems or pain. They usually stay the same size and don’t move. Most of the time, they don’t need treatment unless they start to feel uncomfortable. If there’s any pressure or ache on the forehead, it might be from the cyst. These cysts are not dangerous.",J34.1,J34.1,True,True,84.68,1.0,1.0,0.3199999999999932,1.7515151515151524,1.6639999999999988
Ethmoid Sinusitis,J32.2,"Ethmoid Sinusitis means your ethmoid sinuses, found between your eyes, are swollen. Sinuses are tiny, air-filled spaces in your head that stop your nose from drying. Sometimes, they get puffy due to germs or allergies. When this happens, it can make your nose feel stuffy, your head hurt, or you feel pressure near your eyes. Think of your nose as a hose; if blocked, nothing can flow through. This is just like airflow in your nose. Drinking plenty of water, using nose sprays, and staying away from smoke might help you feel better.",J32.2,J01.20,False,True,83.36,0.0,1.0,1.6400000000000006,0.8757575757575757,1.1280000000000001
Maxillary Sinus Hypoplasia,Q30.8,"Maxillary Sinus Hypoplasia means the spaces in your cheeks are smaller than usual. These spaces are called maxillary sinuses. They are important for your nose. Everyone’s body is different, and it is normal for some people to have smaller sinuses. It usually doesn’t cause any problems. You can breathe normally, and it won’t hurt. People have different features, like how tall they are or the color of their hair. Having small sinuses is just another way people can be different. There is no need to worry about it.",Q30.8,Q30.8,True,True,69.99,1.0,1.0,15.010000000000005,1.6124921923797628,4.602000000000001
Skull Fracture,S02.0XXA,"A skull fracture means that one of the bones in your head has broken. Your skull is like a helmet that keeps your brain safe, so it's very important. Falls or bumps to your head can cause this break. Sometimes, you won't feel it, but doctors take special pictures, like X-rays, to find the fracture. A doctor can tell if it needs special care because some fractures are more serious than others. Though some skull fractures heal on their own, it's always best to make sure a doctor checks it to keep your brain safe.",S02.0,S02.0,False,False,89.28,0.0,0.0,4.280000000000001,0.03787878787878787,-0.8560000000000003
Cranial Meningioma,D32.0,"A cranial meningioma is a kind of bump that grows on the brain’s outer covering. Imagine the layers around your brain like a helmet. Sometimes, part of this helmet grows too much and creates a lump. These lumps, or tumors, usually grow slowly. They aren’t cancer, so they don't spread anywhere else in the body. Doctors find them with special pictures of the brain, like MRI scans. These lumps don't usually cause problems, but doctors check them regularly. If they grow, they might cause headaches or other feeling changes. It’s like keeping an eye on a slowly growing plant.",D32.0,D32.0,True,True,85.69,1.0,1.0,0.6899999999999977,1.7183431952662724,1.4620000000000006
Fibrous Dysplasia of Skull,Q78.1,"Fibrous dysplasia of the skull happens when some of the bone is softer than normal. Imagine having a soft spot on a hard helmet. This happens because the bone grows differently. It doesn’t usually cause problems. Sometimes, little bumps might form or the skull might look a bit different, but changes take a long time. Most people don’t know they have it until a doctor finds it on an x-ray or scan done for something else. It's not usually something bad or scary, just something doctors notice.",Q78.1,Q78.1,True,True,75.81,1.0,1.0,9.189999999999998,1.6196270853778214,3.4379999999999997
Paget’s Disease of Skull,M88.0,"Paget's Disease of the skull means some parts of the bones in your head are growing too fast. This makes the bones in your skull change shape and get weaker. Think of it like a construction site where the builders are going too quickly, and things aren't as sturdy as they should be. It can sometimes cause headaches or hearing problems. Doctors don't know exactly why it starts, but it can be cared for with the right help. Even with these changes, your skull still acts like a strong helmet to protect your brain.",M88.0,M88.0,True,True,89.38,1.0,1.0,4.3799999999999955,1.6371747211895913,0.724000000000001
Hemangioma of Head,D18.01,"A hemangioma of the head is like a small, harmless patch in your body's printing press. It's a clump of extra blood vessels that form a little bump or red-colored mark on your head. These are very common, like how you might have some freckles. Most of the time, they do not hurt or cause any trouble and may even fade away as you grow older. Doctors usually just keep an eye on them to make sure they don't change in a bad way. But remember, they usually don't cause any harm.",D18.01,D18.01,True,True,89.79,1.0,1.0,4.790000000000006,1.6345423143350606,0.6419999999999988
Lipoma of Face,D17.0,"A lipoma is a lump under your skin that is made up of fat cells. Imagine a small pillow just under your skin. These lumps are usually soft and can be moved around a little bit when you touch them. They don't typically cause pain, but they might be noticed just by sight or touch. Most of the time, lipomas don’t cause health problems and do not require treatment. Think of them like a harmless bump that doesn't interfere with your well-being. If it bothers you, a doctor can guide you through what options are available.",D17.0,D17.9,False,True,82.95,0.0,1.0,2.049999999999997,0.8655737704918034,1.2099999999999995
Cutaneous Abscess of Scalp,L02.81,"A cutaneous abscess of the scalp is like a little, painful bump on your head. This bump is caused by germs that get under your skin and make it infected. The skin then fills up with a yellowish liquid called pus. Think of it like a small water balloon under your skin. The area might feel warm and tender. It's important not to touch it or pick at it to avoid making it worse. Keeping the area clean and washing it gently can help prevent more problems.",L02.03,L02.03,False,False,84.27,0.0,0.0,0.730000000000004,0.11560693641618472,0.1460000000000008
Scalp Lipoma,D17.0,"A scalp lipoma is a small harmless bump under the skin on your head. It’s made of fat cells. It feels soft and can move a little when you touch it. Lipomas are like little cushions that are not dangerous and don’t usually hurt. Lots of people have them, and they don’t cause trouble. If yours doesn’t bother you, it doesn’t need anything done to it. But if it becomes a problem, like if it grows bigger or starts to hurt, you can ask your doctor about what to do next.",D17.0,D17.0,True,True,92.12,1.0,1.0,7.1200000000000045,1.6246305418719214,0.17599999999999905
Dental Abscess,K04.7,"A dental abscess is like a little bump filled with yucky stuff called pus. It usually shows up in your gums or around a tooth. It's caused by bacteria that sneak into the tooth, maybe because of a cavity or another problem. When your body's fighters try to get rid of these germs, pus forms. This bump can hurt, make your gums swell, and feel sore. It might even make your mouth taste weird and leave you with bad breath. If you see or feel these signs, it’s important to get it checked out by a healthcare provider.",K04.7,K04.7,True,True,91.11,1.0,1.0,6.109999999999999,1.628129395218003,0.3780000000000001
Impacted Tooth,K01.1,"An impacted tooth is like a puzzle piece that doesn't fit quite right. It's a tooth that hasn't come out like it should. Instead of growing in your mouth, it's stuck in your gums or jaw bone. This often happens when there's not enough space in your mouth for all your teeth, or because it's in an awkward position. It's common with wisdom teeth, the ones at the very back. When a tooth is impacted, it can cause pain, swelling, or even infection. It's important to know about it so you can take care of your mouth and keep healthy.",K01.1,K01.1,True,True,90.8,1.0,1.0,5.799999999999997,1.6294117647058826,0.4400000000000006
Dental Caries,K02.9,"Dental caries are also called tooth decay or cavities. These happen when germs in your mouth turn sugar from food and drinks into acids. These acids can make little holes in your teeth. It is like when rain washes away dirt and makes a small hole. To stop cavities, brush and floss your teeth every day. Try not to eat or drink too many sweet things. Visiting the dentist can help find and fix any holes before they get bigger. Dentists help keep your teeth strong and healthy, so small problems don't become big ones.",K02.9,K02.9,True,True,93.24,1.0,1.0,8.239999999999995,1.6216450216450218,-0.04799999999999893
Zenker's Diverticulum,K22.5,"Zenker's diverticulum is a small pocket that can form in your throat tube. This tube helps move food from your mouth to your stomach. Think of it like a small bump or pouch in the side of a tunnel. Food might get caught in this bump, making it hard to swallow. Sometimes it can cause you to have bad breath or make you cough. It might feel strange or unpleasant, but doctors know how to treat it and can help with uncomfortable symptoms if you have any.",K22.5,K22.5,True,True,90.6,1.0,1.0,5.599999999999994,1.6303030303030304,0.4800000000000011
Esophageal Web,K22.2,"An esophageal web is a thin piece of tissue that grows in the esophagus, the tube that carries food and drinks from your mouth to your stomach. Think of it like a small wall or bump inside the tube, which can sometimes make swallowing hard. Doctors usually find these webs during X-rays or other scans done for different reasons. You might feel like food is getting stuck, which could be a sign of the web. Luckily, there are treatments available to help manage it and make swallowing easier.",Q39.4,Q39.4,False,False,78.99,0.0,0.0,6.010000000000005,0.028530670470756043,1.202000000000001
Cervical Esophageal Stricture,K22.2,"When you have a cervical esophageal stricture, it means the tube in your throat called the esophagus has a narrow spot. This tube helps move food from your mouth to your stomach. Imagine using a bent straw for your drink and the liquid struggles to come through. This narrowing makes swallowing food and drinks hard, like feeling something is stuck in your throat. It might feel uncomfortable or weird. Our bodies need food and drinks to stay healthy, so doctors may help fix this narrow part to make eating and drinking easier for you.",K22.2,K22.2,True,True,80.92,1.0,1.0,4.079999999999998,1.6393700787401575,2.416
Esophageal Cyst,Q39.8,"When you think of an esophageal cyst, imagine a tiny bubble or bag with fluid inside, like a small balloon you might discover in your body. This balloon grows along your esophagus, the tube where your food travels from your mouth to your tummy. Often, this small bubble doesn't create trouble, and some people might never realize it's there. But just as an unexpected surprise can pop up on an adventure trip, this cyst might sometimes cause issues. That's why it's important to look for any changes every once in a while in case it acts differently.",Q39.8,Q39.8,True,True,68.7,1.0,1.0,16.299999999999997,1.6115606936416187,4.859999999999999
Cervical Esophageal Ulcer,K22.1,"A cervical esophageal ulcer is a sore in the tube that carries food from your mouth to your stomach, called the esophagus. Think of it like a small wound inside this tube. These sores can happen if there's too much acid or if there's an infection. If you have one, you might feel pain when you swallow or have a sore throat. There could be some bleeding too. It's best to eat soft, gentle foods and avoid spicy foods that might make it hurt more. Simplifying everything makes it easier for your body to heal.",K22.1,K22.1,True,True,91.51,1.0,1.0,6.510000000000005,1.626631158455393,0.29799999999999893
Achalasia of Esophagus,K22.0,"Achalasia of the esophagus is when the tube that carries food from your mouth to your stomach can't open well. This tube is the esophagus. Think of it like a door you try to open, but it stays shut. So, food struggles to get through. Swallowing might feel slow or blocked. Eating may feel odd. Sometimes, people with achalasia feel like swallowing is tough, or food sticks or comes back up. This happens because it doesn't move down easily.",K22.0,K22.0,True,True,86.81,1.0,1.0,1.8100000000000023,1.6711743772241994,1.2379999999999995
